Year-Month,Cases
2011-1,21
2011-2,36
2011-3,49
2011-4,71
2011-5,50
2011-6,35
2011-7,28
2011-8,36
2011-9,35
2011-10,23
2011-11,16
2011-12,31
2012-1,24
2012-2,46
2012-3,47
2012-4,51
2012-5,32
2012-6,20
2012-7,5
2012-8,12
2012-9,2
2012-10,12
2012-11,24
2012-12,9
2013-1,82
2013-2,101
2013-3,137
2013-4,125
2013-5,37
2013-6,44
2013-7,29
2013-8,38
2013-9,33
2013-10,16
2013-11,59
2013-12,59
2014-1,132
2014-2,149
2014-3,251
2014-4,121
2014-5,39
2014-6,22
2014-7,17
2014-8,8
2014-9,8
2014-10,8
2014-11,4
2014-12,8
2015-1,6
2015-2,6
2015-3,13
2015-4,3
2015-5,2
2015-6,10
2015-7,1
2015-8,2
2015-9,2
2015-10,3
2015-11,1
2015-12,4
2016-1,7
2016-2,16
2016-3,18
2016-4,9
2016-5,14
2016-6,3
2016-7,3
2016-8,12
2016-9,4
2016-10,2
2016-11,2
2016-12,8
2017-1,3
2017-2,24
2017-3,15
2017-4,26
2017-5,21
2017-6,14
2017-7,7
2017-8,2
2017-9,3
2017-10,11
2017-11,29
2017-12,37
2018-1,69
2018-2,158
2018-3,48
2018-4,59
2018-5,27
2018-6,29
2018-7,47
2018-8,36
2018-9,58
2018-10,96
2018-11,149
2018-12,110
2019-1,266
2019-2,131
2019-3,40
2019-4,2
2019-5,2
2019-6,0
2019-7,1
2019-8,2
2019-9,3
2019-10,14
2019-11,15
2019-12,7
2020-1,12
2020-2,3
2020-3,4
2020-4,1
2020-5,1
2020-6,0
2020-7,3
2020-8,1
2020-9,1
2020-10,1
2020-11,0
2020-12,3
2021-1,2
2021-2,2
2021-3,3
2021-4,3
2021-5,3
2021-6,0
2021-7,4
2021-8,0
2021-9,0
2021-10,5
2021-11,1
2021-12,4
2022-1,40
2022-2,88
2022-3,57
2022-4,58
2022-5,35
2022-6,39
2022-7,23
2022-8,12
2022-9,14
2022-10,25
2022-11,26
2022-12,20
2023-1,74
2023-2,88
2023-3,78
2023-4,63
2023-5,48
2023-6,26
2023-7,15
2023-8,20
2023-9,11
2023-10,16
2023-11,15
2023-12,28
2024-1,29
2024-2,83
2024-3,24
