Year-Month,Cases
2011-1,58
2011-2,147
2011-3,186
2011-4,105
2011-5,114
2011-6,56
2011-7,29
2011-8,23
2011-9,13
2011-10,40
2011-11,61
2011-12,101
2012-1,214
2012-2,152
2012-3,90
2012-4,46
2012-5,14
2012-6,29
2012-7,21
2012-8,4
2012-9,4
2012-10,20
2012-11,16
2012-12,12
2013-1,95
2013-2,127
2013-3,87
2013-4,35
2013-5,173
2013-6,166
2013-7,12
2013-8,11
2013-9,6
2013-10,6
2013-11,28
2013-12,28
2014-1,76
2014-2,127
2014-3,101
2014-4,109
2014-5,70
2014-6,70
2014-7,38
2014-8,14
2014-9,23
2014-10,36
2014-11,60
2014-12,52
2015-1,596
2015-2,366
2015-3,292
2015-4,173
2015-5,126
2015-6,141
2015-7,53
2015-8,15
2015-9,9
2015-10,21
2015-11,38
2015-12,42
2016-1,44
2016-2,36
2016-3,24
2016-4,69
2016-5,165
2016-6,114
2016-7,69
2016-8,32
2016-9,34
2016-10,21
2016-11,24
2016-12,26
2017-1,22
2017-2,42
2017-3,41
2017-4,30
2017-5,22
2017-6,20
2017-7,23
2017-8,28
2017-9,30
2017-10,152
2017-11,173
2017-12,127
2018-1,120
2018-2,133
2018-3,87
2018-4,89
2018-5,115
2018-6,87
2018-7,9
2018-8,6
2018-9,7
2018-10,19
2018-11,152
2018-12,7
2019-1,165
2019-2,369
2019-3,290
2019-4,280
2019-5,277
2019-6,219
2019-7,202
2019-8,133
2019-9,199
2019-10,359
2019-11,220
2019-12,136
2020-1,475
2020-2,414
2020-3,321
2020-4,150
2020-5,53
2020-6,13
2020-7,12
2020-8,9
2020-9,6
2020-10,8
2020-11,10
2020-12,12
2021-1,113
2021-2,48
2021-3,54
2021-4,53
2021-5,70
2021-6,48
2021-7,56
2021-8,104
2021-9,30
2021-10,22
2021-11,79
2021-12,106
2022-1,208
2022-2,487
2022-3,600
2022-4,381
2022-5,251
2022-6,218
2022-7,170
2022-8,61
2022-9,65
2022-10,154
2022-11,233
2022-12,233
2023-1,610
2023-2,1157
2023-3,1634
2023-4,1205
2023-5,917
2023-6,448
2023-7,98
2023-8,16
2023-9,16
2023-10,31
2023-11,16
2023-12,25
2024-1,73
2024-2,113
2024-3,9
